source,date,title,summary,text,filtered,normalized
BBC,2026-04-28,"I made 'serious mistake' advising Starmer to appoint Mandelson, PM's ex-top adviser McSweeney says","Morgan McSweeney says the peer did not give the ""full truth"" about his relationship with Epstein.","I made 'serious mistake' advising Starmer to appoint Mandelson, PM's ex-top adviser McSweeney says Morgan McSweeney says the peer did not give the ""full truth"" about his relationship with Epstein.",I made 'serious mistake' advising Starmer to appoint Mandelson PM's ex-top adviser McSweeney says Morgan McSweeney says the peer did not give the full truth about his relationship with Epstein,i made 'serious mistake' advising starmer to appoint mandelson pm's ex-top adviser mcsweeney says morgan mcsweeney says the peer did not give the full truth about his relationship with epstein
BBC,2026-04-28,United Arab Emirates to quit oil cartel Opec,"The UAE's decision, after nearly 60 years of membership, is seen as a potential death knell for the oil cartel.","United Arab Emirates to quit oil cartel Opec The UAE's decision, after nearly 60 years of membership, is seen as a potential death knell for the oil cartel.",United Arab Emirates to quit oil cartel Opec The UAE's decision after nearly years of membership is seen as a potential death knell for the oil cartel,united arab emirates to quit oil cartel opec the uae's decision after nearly years of membership is seen as a potential death knell for the oil cartel
BBC,2026-04-28,"America's special relationship 'probably Israel', says UK ambassador to US","The remarks, made in February and first reported by the Financial Times, came to light during the King's state visit.","America's special relationship 'probably Israel', says UK ambassador to US The remarks, made in February and first reported by the Financial Times, came to light during the King's state visit.",America's special relationship 'probably Israel' says UK ambassador to US The remarks made in February and first reported by the Financial Times came to light during the King's state visit,america's special relationship 'probably israel' says uk ambassador to us the remarks made in february and first reported by the financial times came to light during the king's state visit
BBC,2026-04-28,France murder victim identified after 20 years and suspect arrested,Hakima Boukerouis is the fifth woman to be identified through an international police campaign.,France murder victim identified after 20 years and suspect arrested Hakima Boukerouis is the fifth woman to be identified through an international police campaign.,France murder victim identified after years and suspect arrested Hakima Boukerouis is the fifth woman to be identified through an international police campaign,france murder victim identified after years and suspect arrested hakima boukerouis is the fifth woman to be identified through an international police campaign
BBC,2026-04-28,Brighton plan Europe's first purpose-built £80m women's football stadium,"Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium, which will cost £75-80m.","Brighton plan Europe's first purpose-built £80m women's football stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium, which will cost £75-80m.",Brighton plan Europe's first purpose-built m women's football stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium which will cost - m,brighton plan europe's first purpose-built m women's football stadium brighton and hove albion release plans for europe's first purpose-built women's football stadium which will cost - m
BBC,2026-04-28,Watch: Jimmy Kimmel defends 'expectant widow' joke after first lady criticism,"First Lady Melania Trump described the joke as ""hateful and violent"", with the White House urging ABC to fire the comedian.","Watch: Jimmy Kimmel defends 'expectant widow' joke after first lady criticism First Lady Melania Trump described the joke as ""hateful and violent"", with the White House urging ABC to fire the comedian.",Watch Jimmy Kimmel defends 'expectant widow' joke after first lady criticism First Lady Melania Trump described the joke as hateful and violent with the White House urging ABC to fire the comedian,watch jimmy kimmel defends 'expectant widow' joke after first lady criticism first lady melania trump described the joke as hateful and violent with the white house urging abc to fire the comedian
BBC,2026-04-28,Why Sam Altman and his former hero Elon Musk are taking their toxic feud to court,The battle between the AI big hitters has largely played out on social media. Now it is coming to the courtroom.,Why Sam Altman and his former hero Elon Musk are taking their toxic feud to court The battle between the AI big hitters has largely played out on social media. Now it is coming to the courtroom.,Why Sam Altman and his former hero Elon Musk are taking their toxic feud to court The battle between the AI big hitters has largely played out on social media Now it is coming to the courtroom,why sam altman and his former hero elon musk are taking their toxic feud to court the battle between the ai big hitters has largely played out on social media now it is coming to the courtroom
BBC,2026-04-28,Road-rage driver caught on his own dashcam knocking motorist out,John Lee was caught on his own vehicle's camera attacking another driver in Conwy.,Road-rage driver caught on his own dashcam knocking motorist out John Lee was caught on his own vehicle's camera attacking another driver in Conwy.,Road-rage driver caught on his own dashcam knocking motorist out John Lee was caught on his own vehicle's camera attacking another driver in Conwy,road-rage driver caught on his own dashcam knocking motorist out john lee was caught on his own vehicle's camera attacking another driver in conwy
BBC,2026-04-28,GP struck off over garlic oil 'cancer cure' claims,"Mohsen Ali charged cancer patients up to £15,000 for bogus ""cures"", a tribunal hears.","GP struck off over garlic oil 'cancer cure' claims Mohsen Ali charged cancer patients up to £15,000 for bogus ""cures"", a tribunal hears.",GP struck off over garlic oil 'cancer cure' claims Mohsen Ali charged cancer patients up to for bogus cures a tribunal hears,gp struck off over garlic oil 'cancer cure' claims mohsen ali charged cancer patients up to for bogus cures a tribunal hears
BBC,2026-04-28,Faisal Islam: Why the UAE's exit from Opec is a big deal,"It will have little effect on the current oil blockades, but it could change everything afterwards.","Faisal Islam: Why the UAE's exit from Opec is a big deal It will have little effect on the current oil blockades, but it could change everything afterwards.",Faisal Islam Why the UAE's exit from Opec is a big deal It will have little effect on the current oil blockades but it could change everything afterwards,faisal islam why the uae's exit from opec is a big deal it will have little effect on the current oil blockades but it could change everything afterwards
BBC,2026-04-28,Three key statements Starmer made to MPs about Mandelson vetting,BBC Verify looks into some of the statements the prime minister made about the appointment of Lord Mandelson as UK ambassador to the US.,Three key statements Starmer made to MPs about Mandelson vetting BBC Verify looks into some of the statements the prime minister made about the appointment of Lord Mandelson as UK ambassador to the US.,Three key statements Starmer made to MPs about Mandelson vetting BBC Verify looks into some of the statements the prime minister made about the appointment of Lord Mandelson as UK ambassador to the US,three key statements starmer made to mps about mandelson vetting bbc verify looks into some of the statements the prime minister made about the appointment of lord mandelson as uk ambassador to the us
BBC,2026-04-28,In pictures: King Charles and Queen Camilla at garden party and White House on US state visit,King Charles III and Queen Camilla were greeted by a military band and honour guard as they arrived for their four-day trip.,In pictures: King Charles and Queen Camilla at garden party and White House on US state visit King Charles III and Queen Camilla were greeted by a military band and honour guard as they arrived for their four-day trip.,In pictures King Charles and Queen Camilla at garden party and White House on US state visit King Charles III and Queen Camilla were greeted by a military band and honour guard as they arrived for their four-day trip,in pictures king charles and queen camilla at garden party and white house on us state visit king charles iii and queen camilla were greeted by a military band and honour guard as they arrived for their four-day trip
BBC,2026-04-28,Nostalgia wasn't enough: What went wrong at Claire's,Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain.,Nostalgia wasn't enough: What went wrong at Claire's Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain.,Nostalgia wasn't enough What went wrong at Claire's Experts says Claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain,nostalgia wasn't enough what went wrong at claire's experts says claire's suffered from a perfect storm of issues which has spelled the end for the accessories chain
BBC,2026-04-28,The other life of US soldier accused of betting on Maduro's removal,"The Army officer charged with using classified information to win $400,000 is also a real estate investor with rave reviews on Airbnb.","The other life of US soldier accused of betting on Maduro's removal The Army officer charged with using classified information to win $400,000 is also a real estate investor with rave reviews on Airbnb.",The other life of US soldier accused of betting on Maduro's removal The Army officer charged with using classified information to win is also a real estate investor with rave reviews on Airbnb,the other life of us soldier accused of betting on maduro's removal the army officer charged with using classified information to win is also a real estate investor with rave reviews on airbnb
BBC,2026-04-27,How armed guards almost seized David Attenborough's iconic gorilla moment,Two new documentaries explore the the fascinating tale behind the defining image of Attenborough's career.,How armed guards almost seized David Attenborough's iconic gorilla moment Two new documentaries explore the the fascinating tale behind the defining image of Attenborough's career.,How armed guards almost seized David Attenborough's iconic gorilla moment Two new documentaries explore the the fascinating tale behind the defining image of Attenborough's career,how armed guards almost seized david attenborough's iconic gorilla moment two new documentaries explore the the fascinating tale behind the defining image of attenborough's career
BBC,2026-04-28,The man who exposed hundreds of British Museum thefts - but didn't live to see justice,Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum.,The man who exposed hundreds of British Museum thefts - but didn't live to see justice Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum.,The man who exposed hundreds of British Museum thefts - but didn't live to see justice Dr Ittai Gradel made global headlines after exposing the thefts of many artefacts from the British Museum,the man who exposed hundreds of british museum thefts - but didn't live to see justice dr ittai gradel made global headlines after exposing the thefts of many artefacts from the british museum
BBC,2026-04-28,Russian superyacht sails through Strait of Hormuz despite blockade,"The 141m-long vessel, linked to a close ally of Russian President Vladimir Putin, cleared the waterway despite an ongoing blockade.","Russian superyacht sails through Strait of Hormuz despite blockade The 141m-long vessel, linked to a close ally of Russian President Vladimir Putin, cleared the waterway despite an ongoing blockade.",Russian superyacht sails through Strait of Hormuz despite blockade The m-long vessel linked to a close ally of Russian President Vladimir Putin cleared the waterway despite an ongoing blockade,russian superyacht sails through strait of hormuz despite blockade the m-long vessel linked to a close ally of russian president vladimir putin cleared the waterway despite an ongoing blockade
BBC,2026-04-28,Welsh party leaders gear up for live debate ahead of tightly contested Senedd election,Leaders will be looking to sell themselves - but live TV debates are not without their peril.,Welsh party leaders gear up for live debate ahead of tightly contested Senedd election Leaders will be looking to sell themselves - but live TV debates are not without their peril.,Welsh party leaders gear up for live debate ahead of tightly contested Senedd election Leaders will be looking to sell themselves - but live TV debates are not without their peril,welsh party leaders gear up for live debate ahead of tightly contested senedd election leaders will be looking to sell themselves - but live tv debates are not without their peril
BBC,2026-04-28,Third Ukrainian strike hits Russian oil refinery and prompts evacuations,"Residents near a burning refinery in Tuapse are told to leave, and the Kremlin accuses Kyiv of destabilising global energy markets.","Third Ukrainian strike hits Russian oil refinery and prompts evacuations Residents near a burning refinery in Tuapse are told to leave, and the Kremlin accuses Kyiv of destabilising global energy markets.",Third Ukrainian strike hits Russian oil refinery and prompts evacuations Residents near a burning refinery in Tuapse are told to leave and the Kremlin accuses Kyiv of destabilising global energy markets,third ukrainian strike hits russian oil refinery and prompts evacuations residents near a burning refinery in tuapse are told to leave and the kremlin accuses kyiv of destabilising global energy markets
BBC,2026-04-28,Dances with Wolves star Nathan Chasing Horse jailed for at least 37 years for sexual assault,"The 49-year-old exploited his position as a spiritual leader to prey on Indigenous women and girls, the US court heard.","Dances with Wolves star Nathan Chasing Horse jailed for at least 37 years for sexual assault The 49-year-old exploited his position as a spiritual leader to prey on Indigenous women and girls, the US court heard.",Dances with Wolves star Nathan Chasing Horse jailed for at least years for sexual assault The -year-old exploited his position as a spiritual leader to prey on Indigenous women and girls the US court heard,dances with wolves star nathan chasing horse jailed for at least years for sexual assault the -year-old exploited his position as a spiritual leader to prey on indigenous women and girls the us court heard
BBC,2026-04-28,"Swarm of 10,000 bees settles on bike outside Louvre in Paris",The swarm gathers underneath the saddle of a bike locked to the railings of a metro station.,"Swarm of 10,000 bees settles on bike outside Louvre in Paris The swarm gathers underneath the saddle of a bike locked to the railings of a metro station.",Swarm of bees settles on bike outside Louvre in Paris The swarm gathers underneath the saddle of a bike locked to the railings of a metro station,swarm of bees settles on bike outside louvre in paris the swarm gathers underneath the saddle of a bike locked to the railings of a metro station
BBC,2026-04-28,Suspected gunman aged 89 held in Greece after five wounded,"Five people were left with non-life-threatening injuries, according to Greece's state broadcaster ERT.","Suspected gunman aged 89 held in Greece after five wounded Five people were left with non-life-threatening injuries, according to Greece's state broadcaster ERT.",Suspected gunman aged held in Greece after five wounded Five people were left with non-life-threatening injuries according to Greece's state broadcaster ERT,suspected gunman aged held in greece after five wounded five people were left with non-life-threatening injuries according to greece's state broadcaster ert
BBC,2026-04-28,The young walrus drawing crowds as he tours the Scottish coast,The young male - who has been named Magnus - was first seen in Orkney and has since been making a splash in the north-east of Scotland.,The young walrus drawing crowds as he tours the Scottish coast The young male - who has been named Magnus - was first seen in Orkney and has since been making a splash in the north-east of Scotland.,The young walrus drawing crowds as he tours the Scottish coast The young male - who has been named Magnus - was first seen in Orkney and has since been making a splash in the north-east of Scotland,the young walrus drawing crowds as he tours the scottish coast the young male - who has been named magnus - was first seen in orkney and has since been making a splash in the north-east of scotland
BBC,2026-04-27,"The King Arrives In The US, But Can He Mend The Special Relationship?",The King lands in Washington for four day state visit.,"The King Arrives In The US, But Can He Mend The Special Relationship? The King lands in Washington for four day state visit.",The King Arrives In The US But Can He Mend The Special Relationship The King lands in Washington for four day state visit,the king arrives in the us but can he mend the special relationship the king lands in washington for four day state visit
BBC,2026-04-26,Who is Trump’s 'would-be assassin' and were there security failings at DC shooting?,The US president was evacuated from the White House Correspondents Dinner,Who is Trump’s 'would-be assassin' and were there security failings at DC shooting? The US president was evacuated from the White House Correspondents Dinner,Who is Trump s 'would-be assassin' and were there security failings at DC shooting The US president was evacuated from the White House Correspondents Dinner,who is trump s 'would-be assassin' and were there security failings at dc shooting the us president was evacuated from the white house correspondents dinner
BBC,2026-04-28,Man City left frustrated by fixture pile-up,Manchester City face a fixture pile-up of four games in 11 days next month after the Premier League confirmed the rescheduled dates for two of their key matches in the race for the title.,Man City left frustrated by fixture pile-up Manchester City face a fixture pile-up of four games in 11 days next month after the Premier League confirmed the rescheduled dates for two of their key matches in the race for the title.,Man City left frustrated by fixture pile-up Manchester City face a fixture pile-up of four games in days next month after the Premier League confirmed the rescheduled dates for two of their key matches in the race for the title,man city left frustrated by fixture pile-up manchester city face a fixture pile-up of four games in days next month after the premier league confirmed the rescheduled dates for two of their key matches in the race for the title
BBC,2026-04-28,'I lived all my dreams' - Stones to leave Man City,"England defender John Stones says he ""lived all my dreams out"" at Manchester City after confirming he will leave at the end of the season.","'I lived all my dreams' - Stones to leave Man City England defender John Stones says he ""lived all my dreams out"" at Manchester City after confirming he will leave at the end of the season.",'I lived all my dreams' - Stones to leave Man City England defender John Stones says he lived all my dreams out at Manchester City after confirming he will leave at the end of the season,'i lived all my dreams' - stones to leave man city england defender john stones says he lived all my dreams out at manchester city after confirming he will leave at the end of the season
BBC,2026-04-28,Ranking the players who could decide Champions League semi-finals,Which players will prove key to their team’s chances in the Champions League last four? We've ranked the top 10 - now it's your turn.,Ranking the players who could decide Champions League semi-finals Which players will prove key to their team’s chances in the Champions League last four? We've ranked the top 10 - now it's your turn.,Ranking the players who could decide Champions League semi-finals Which players will prove key to their team s chances in the Champions League last four We've ranked the top - now it's your turn,ranking the players who could decide champions league semi-finals which players will prove key to their team s chances in the champions league last four we've ranked the top - now it's your turn
BBC,2026-04-28,'A superstar in the making' - teen's journey from dog-sitting to World Cup,"Who is England newcomer Tilly Corteen-Coleman, and what does she offer Charlotte Edwards as the team's third left-arm spinner?","'A superstar in the making' - teen's journey from dog-sitting to World Cup Who is England newcomer Tilly Corteen-Coleman, and what does she offer Charlotte Edwards as the team's third left-arm spinner?",'A superstar in the making' - teen's journey from dog-sitting to World Cup Who is England newcomer Tilly Corteen-Coleman and what does she offer Charlotte Edwards as the team's third left-arm spinner,'a superstar in the making' - teen's journey from dog-sitting to world cup who is england newcomer tilly corteen-coleman and what does she offer charlotte edwards as the team's third left-arm spinner
BBC,2026-04-28,Sinner beats Norrie to equal historic winning run,World number one Jannik Sinner's brilliant form continues as he reaches the quarter-finals of the Madrid Open with a straight-set win over Britain's Cameron Norrie.,Sinner beats Norrie to equal historic winning run World number one Jannik Sinner's brilliant form continues as he reaches the quarter-finals of the Madrid Open with a straight-set win over Britain's Cameron Norrie.,Sinner beats Norrie to equal historic winning run World number one Jannik Sinner's brilliant form continues as he reaches the quarter-finals of the Madrid Open with a straight-set win over Britain's Cameron Norrie,sinner beats norrie to equal historic winning run world number one jannik sinner's brilliant form continues as he reaches the quarter-finals of the madrid open with a straight-set win over britain's cameron norrie
BBC,2026-04-28,Brighton plan Europe's first purpose-built £80m women's stadium,"Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium, which will cost £75-80m.","Brighton plan Europe's first purpose-built £80m women's stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium, which will cost £75-80m.",Brighton plan Europe's first purpose-built m women's stadium Brighton and Hove Albion release plans for Europe's first purpose-built women's football stadium which will cost - m,brighton plan europe's first purpose-built m women's stadium brighton and hove albion release plans for europe's first purpose-built women's football stadium which will cost - m
